,Player,Matches,Points,Runs,100s,50s,6s,Wickets,4w,5w,Price
0,Sunil Narine,16,298,224,0,1,10,10,0,0,"9,50,00,000"
1,Shane Watson,8,88,71,0,0,1,5,0,0,"4,00,00,000"
2,Kane Williamson,7,87.5,256,0,2,10,0,0,0,"3,00,00,000"
3,Hardik Pandya,17,193.5,250,0,0,20,6,0,0,"11,00,00,000"
4,Ambati Rayudu,5,35.5,91,0,1,3,0,0,0,"2,20,00,000"
5,Shakib Al Hasan,1,5,0,0,0,0,0,0,0,"2,00,00,000"
6,Suryakumar Yadav,10,43,105,0,0,3,0,0,0,"3,20,00,000"
7,Shikhar Dhawan,14,181.5,479,0,3,9,0,0,0,"5,20,00,000"
8,Dinesh Karthik,14,133.5,361,0,2,11,0,0,0,"7,40,00,000"
9,Umesh Yadav,14,186.5,0,0,0,0,17,1,0,"4,20,00,000"
10,AB de Villiers,9,101,216,0,1,16,0,0,0,"12,50,00,000"
11,Virat Kohli,10,111,308,0,4,11,0,0,0,"17,00,00,000"
12,Jasprit Bumrah,16,202.5,16,0,0,1,20,0,0,"7,00,00,000"
13,Trent Boult,6,70.5,0,0,0,0,5,0,0,"2,20,00,000"
14,MS Dhoni,16,126,290,0,1,16,0,0,0,"15,00,00,000"
15,Suresh Raina,14,184,442,0,3,13,1,0,0,"11,00,00,000"
16,Piyush Chawla,6,59.5,0,0,0,0,6,0,0,"4,20,00,000"
17,Yuzvendra Chahal,13,148.5,0,0,0,0,14,0,0,"6,00,00,000"
18,Chris Gayle,9,91.5,200,0,1,14,0,0,0,"2,00,00,000"
19,Ravindra Jadeja,12,126,158,0,0,4,5,0,0,"7,00,00,000"
20,Jaydev Unadkat,12,225.5,0,0,0,0,24,0,1,"11,50,00,000"
21,Bhuvneshwar Kumar,14,218,0,0,0,0,26,0,1,"8,50,00,000"
22,Sandeep Sharma,13,182,0,0,0,0,17,1,0,"3,00,00,000"
23,Robin Uthappa,14,201,388,0,5,21,0,0,0,"6,40,00,000"
24,Shreyas Iyer,12,132.5,338,0,2,10,0,0,0,"7,00,00,000"
25,Mitchell McClenaghan,14,191.5,16,0,0,1,19,0,0,"1,00,00,000"
26,Sanju Samson,14,156.5,386,1,2,19,0,0,0,"8,00,00,000"
27,Glenn Maxwell,14,218.5,310,0,0,26,7,0,0,"9,00,00,000"
28,Karun Nair,14,123.5,281,0,1,6,0,0,0,"5,60,00,000"
29,Ajinkya Rahane,16,136.5,382,0,2,9,0,0,0,"4,00,00,000"
30,Rohit Sharma,17,134,333,0,3,9,0,0,0,"15,00,00,000"
31,Amit Mishra,14,132.5,49,0,0,2,10,0,0,"4,00,00,000"
32,Harbhajan Singh,11,132.5,16,0,0,1,8,0,0,"2,00,00,000"
33,Yusuf Pathan,15,60,143,0,1,6,1,0,0,"1,90,00,000"
34,Tim Southee,3,37.5,0,0,0,0,3,0,0,"1,00,00,000"
35,Manish Pandey,14,132,396,0,2,12,0,0,0,"11,00,00,000"
36,Mandeep Singh,11,81.5,188,0,1,4,0,0,0,"1,40,00,000"
37,Harshal Patel,1,18.5,0,0,0,0,3,0,0,"20,00,000"
38,Mohit Sharma,14,151,51,0,0,1,13,0,0,"2,40,00,000"
39,Axar Patel,14,218,227,0,0,11,15,0,0,"12,50,00,000"
40,Parthiv Patel,16,170.5,395,0,2,8,0,0,0,"1,70,00,000"
41,Dhawal Kulkarni,6,48,0,0,0,0,3,0,0,"75,00,000"
42,Faf du Plessis,2,2.5,0,0,0,0,0,0,0,"1,60,00,000"
43,Imran Tahir,12,162,0,0,0,0,18,0,0,"1,00,00,000"
45,Brendon McCullum,11,155.5,320,0,2,18,0,0,0,"3,60,00,000"
46,Mitchell Johnson,5,88,20,0,0,1,7,0,0,"2,00,00,000"
47,Chris Morris,9,184,154,0,1,6,12,1,0,"8,00,00,000"
48,Wriddhiman Saha,14,108,234,0,1,8,0,0,0,"5,00,00,000"
49,Kieron Pollard,17,179.5,385,0,3,22,0,0,0,"5,40,00,000"
50,Aaron Finch,13,141.5,300,0,2,19,0,0,0,"6,20,00,000"
51,Mayank Agarwal,3,10,26,0,0,0,0,0,0,"1,00,00,000"
52,Karn Sharma,9,147.5,49,0,0,2,13,1,0,"5,00,00,000"
53,Shahbaz Nadeem,7,73,0,0,0,0,6,0,0,"3,20,00,000"
54,Deepak Hooda,10,53,78,0,0,4,2,0,0,"3,60,00,000"
55,Gautam Gambhir,16,192,498,0,4,7,0,0,0,"2,80,00,000"
56,Yuvraj Singh,12,116,252,0,2,8,1,0,0,"2,00,00,000"
57,Vinay Kumar,1,13,0,0,0,0,2,0,0,"1,00,00,000"
58,Manan Vohra,11,94,229,0,1,9,0,0,0,"1,10,00,000"
59,Stuart Binny,8,51,78,0,0,3,4,0,0,"50,00,000"
60,David Miller,5,29,83,0,0,4,0,0,0,"3,00,00,000"
61,Pawan Negi,12,193,144,0,0,7,16,0,0,"1,00,00,000"
62,Anureet Singh,1,7,15,0,0,0,0,0,0,"30,00,000"
63,Kedar Jadhav,13,122.5,267,0,1,10,0,0,0,"7,80,00,000"
64,Ankit Sharma,1,9.5,25,0,0,1,0,0,0,"20,00,000"
65,Naman Ojha,14,30.5,79,0,0,3,0,0,0,"1,40,00,000"
