,Player,Price
0,Kedar Jadhav,"7,80,00,000"
1,Dwayne Bravo,"6,40,00,000"
2,Karn Sharma,"5,00,00,000"
3,Shane Watson,"4,00,00,000"
4,Shardul Narendra Thakur,"2,60,00,000"
5,Ambati Rayudu,"2,20,00,000"
6,Murali Vijay,"2,00,00,000"
7,Harbhajan Singh,"2,00,00,000"
8,Faf Du Plessis,"1,60,00,000"
9,Mark Wood,"1,50,00,000"
10,Sam Billings,"1,00,00,000"
11,Imran Tahir,"1,00,00,000"
12,Deepak Chahar,"80,00,000"
13,Mitchell Santner,"50,00,000"
14,Lungisani Ngidi,"50,00,000"
15,Asif K M,"40,00,000"
16,N Jagadeesan,"20,00,000"
17,Kanishk Seth,"20,00,000"
18,Monu Singh,"20,00,000"
19,Dhruv Shorey,"20,00,000"
20,Kshitiz Sharma,"20,00,000"
21,Chaitanya Bishnoi,"20,00,000"
22,Glenn Maxwell,"9,00,00,000"
23,Kagiso Rabada,"4,20,00,000"
24,Amit Mishra,"4,00,00,000"
25,Shahbaz Nadeem,"3,20,00,000"
26,Vijay Shankar,"3,20,00,000"
27,Rahul Tewatia,"3,00,00,000"
28,Mohammad Shami,"3,00,00,000"
29,Gautam Gambhir,"2,80,00,000"
30,Trent Boult,"2,20,00,000"
31,Colin Munro,"1,90,00,000"
32,Daniel Christian,"1,50,00,000"
33,Jason Roy,"1,50,00,000"
34,Naman Ojha,"1,40,00,000"
35,Prithvi Shaw,"1,20,00,000"
36,Gurkeerat Singh Mann,"75,00,000"
37,Avesh Khan,"70,00,000"
38,Abhishek Sharma,"55,00,000"
39,Jayant Yadav,"50,00,000"
40,Harshal Patel,"20,00,000"
41,Manjot Kalra,"20,00,000"
42,Sandeep Lamichhane,"20,00,000"
43,Sayan Ghosh,"20,00,000"
44,KL Rahul,"11,00,00,000"
45,Ravichandran Ashwin,"7,60,00,000"
46,Andrew Tye,"7,20,00,000"
47,Aaron Finch,"6,20,00,000"
48,Marcus Stoinis,"6,20,00,000"
49,Karun Nair,"5,60,00,000"
50,Mujeeb Zadran,"4,00,00,000"
51,Ankit Singh Rajpoot,"3,00,00,000"
52,David Miller,"3,00,00,000"
53,Mohit Sharma,"2,40,00,000"
54,Barinder Singh Sran,"2,20,00,000"
55,Yuvraj Singh,"2,00,00,000"
56,Christopher Gayle,"2,00,00,000"
57,Ben Dwarshuis,"1,40,00,000"
58,Akshdeep Nath,"1,00,00,000"
59,Manoj Tiwary,"1,00,00,000"
60,Mayank Agarwal,"1,00,00,000"
61,Manzoor Dar,"20,00,000"
62,Pardeep Sahu,"20,00,000"
63,Mayank Dagar,"20,00,000"
64,Chris Lynn,"9,60,00,000"
65,Mitchell Starc,"9,40,00,000"
66,Dinesh Karthik,"7,40,00,000"
67,Robin Uthappa,"6,40,00,000"
68,Kuldeep Singh Yadav,"5,80,00,000"
69,Piyush Chawla,"4,20,00,000"
70,Nitish Rana,"3,40,00,000"
71,Kamlesh Nagarkoti,"3,20,00,000"
72,Shivam Mavi,"3,00,00,000"
73,Mitchell Johnson,"2,00,00,000"
74,Shubman Gill,"1,80,00,000"
75,Ranganath Vinay Kumar,"1,00,00,000"
76,Rinku Singh,"80,00,000"
77,Cameron Delport,"30,00,000"
78,Javon Searless,"30,00,000"
79,Apoorv Vijay Wankhade,"20,00,000"
80,Ishank Jaggi,"20,00,000"
81,Krunal Pandya,"8,80,00,000"
82,Ishan Kishan,"6,20,00,000"
83,Kieron Pollard,"5,40,00,000"
84,Pat Cummins,"5,40,00,000"
85,Evin Lewis,"3,80,00,000"
86,Suryakumar Yadav,"3,20,00,000"
87,Ben Cutting,"2,20,00,000"
88,Mustafizur Rahman,"2,20,00,000"
89,Rahul Chahar,"1,90,00,000"
90,Pradeep Sangwan,"1,50,00,000"
91,Jason Behrendorff,"1,50,00,000"
92,Jean-Paul Duminy,"1,00,00,000"
93,Saurabh Tiwary,"80,00,000"
94,Tajinder Dhillon,"55,00,000"
95,Akila Dhananjaya,"50,00,000"
96,Nidheesh M D Dinesan,"20,00,000"
97,Aditya Tare,"20,00,000"
98,Siddhesh Dinesh Lad,"20,00,000"
99,Mayank Markande,"20,00,000"
100,Sharad Lumba,"20,00,000"
101,Anukul Roy,"20,00,000"
102,Mohsin Khan,"20,00,000"
103,Benjamin Stokes,"12,50,00,000"
104,Jaydev Unadkat,"11,50,00,000"
105,Sanju Samson,"8,00,00,000"
106,Jofra Archer,"7,20,00,000"
107,Krishnappa Gowtham,"6,20,00,000"
108,Jos Buttler,"4,40,00,000"
109,Ajinkya Rahane,"4,00,00,000"
110,Darcy Short,"4,00,00,000"
111,Rahul Tripathi,"3,40,00,000"
112,Dhawal Kulkarni,"75,00,000"
113,Zahir Khan Pakteen,"60,00,000"
114,Ben Laughlin,"50,00,000"
115,Stuart Binny,"50,00,000"
116,Dushmantha Chameera,"50,00,000"
117,Anureet Singh,"30,00,000"
118,Aryaman Vikram Birla,"30,00,000"
119,Midhun S,"20,00,000"
120,Shreyas Gopal,"20,00,000"
121,Prashant Chopra,"20,00,000"
122,Jatin Saxena,"20,00,000"
123,Ankit Sharma,"20,00,000"
124,Mahipal Lomror,"20,00,000"
125,Chris Woakes,"7,40,00,000"
126,Yuzvendra Singh Chahal,"6,00,00,000"
127,Umesh Yadav,"4,20,00,000"
128,Brendon McCullum,"3,60,00,000"
129,M.S. Washington Sundar,"3,20,00,000"
