,Player,Price
130,Navdeep Saini,"3,00,00,000"
131,Quinton De Kock,"2,80,00,000"
132,Mohammed Siraj,"2,60,00,000"
133,Nathan Coulter-Nile,"2,20,00,000"
134,Colin De Grandhomme,"2,20,00,000"
135,M. Ashwin,"2,20,00,000"
136,Parthiv Patel,"1,70,00,000"
137,Moeen Ali,"1,70,00,000"
138,Mandeep Singh,"1,40,00,000"
139,Manan Vohra,"1,10,00,000"
140,Pawan Negi,"1,00,00,000"
141,Tim Southee,"1,00,00,000"
142,Kulwant Khejroliya,"85,00,000"
143,Aniket Choudhary,"30,00,000"
144,Pavan Deshpande,"20,00,000"
145,Anirudha Ashok Joshi,"20,00,000"
146,Manish Pandey,"11,00,00,000"
147,Rashid Khan Arman,"9,00,00,000"
148,Shikhar Dhawan,"5,20,00,000"
149,Wriddhiman Saha,"5,00,00,000"
150,Siddarth Kaul,"3,80,00,000"
151,Deepak Hooda,"3,60,00,000"
152,Syed Khaleel Ahmed,"3,00,00,000"
153,Sandeep Sharma,"3,00,00,000"
154,Kane Williamson,"3,00,00,000"
155,Carlos Brathwaite,"2,00,00,000"
156,Shakib Al Hasan,"2,00,00,000"
157,Yusuf Pathan,"1,90,00,000"
158,Shreevats Goswami,"1,00,00,000"
159,Mohammad Nabi,"1,00,00,000"
160,Chris Jordan,"1,00,00,000"
161,Basil Thampi,"95,00,000"
162,Billy Stanlake,"50,00,000"
163,T Natarajan,"40,00,000"
164,Sachin Baby,"20,00,000"
165,Bipul Sharma,"20,00,000"
166,Syed Mehdi Hasan,"20,00,000"
167,Ricky Bhui,"20,00,000"
168,Tanmay Agarwal,"20,00,000"
