,Player,Price
0,Michael Hussey,"1,50,00,000"
1,Irfan Pathan,"1,50,00,000"
2,Rahul Sharma,"30,00,000"
3,Kyle Abbott,"30,00,000"
4,Andrew Tye,"20,00,000"
5,Pratyush Singh,"10,00,000"
6,Ankush Bains,"10,00,000"
7,Eklavya Dwivedi,"10,00,000"
8,Yuvraj Singh,"16,00,00,000"
9,Angelo Mathews,"7,50,00,000"
10,Zaheer Khan,"4,00,00,000"
11,Amit Mishra,"3,50,00,000"
12,Shreyas Iyer,"2,60,00,000"
13,Gurinder Sandhu,"1,70,00,000"
14,Jaydev Unadkat,"1,10,00,000"
15,Domnic Joseph Muthuswamy,"75,00,000"
16,Albie Morkel,"30,00,000"
17,Travis Head,"30,00,000"
18,Marcus Stoinis,"25,00,000"
19,C.M. Gautam,"20,00,000"
20,Kona Srikar Bharat,"10,00,000"
21,K.K. Jiyaz,"10,00,000"
22,Murali Vijay,"3,00,00,000"
23,Nikhil Shankar Naik,"30,00,000"
24,Yogesh Gowalkar,"10,00,000"
25,K.C. Cariappa,"2,40,00,000"
26,James Neesham,"50,00,000"
27,Brad Hogg,"50,00,000"
28,Aditya Garhwal,"25,00,000"
29,Sheldon Jackson,"15,00,000"
30,Sumit Narwal,"10,00,000"
31,Vaibhav Rawal,"10,00,000"
32,Aaron Finch,"3,20,00,000"
33,Pragyan Ojha,"50,00,000"
34,Abhimanyu Mithun,"30,00,000"
35,Mitchell McClenaghan,"30,00,000"
36,Aiden Blizzard,"30,00,000"
37,Hardik Pandya,"10,00,000"
38,Akshay Wakhare,"10,00,000"
39,Nitish Rana,"10,00,000"
40,Siddhesh Dinesh Lad,"10,00,000"
41,J. Suchitch,"10,00,000"
42,Christopher Morris,"1,40,00,000"
43,Juan Theron,"30,00,000"
44,Barinder Singh Saran,"10,00,000"
45,Dinesh Salunkhe,"10,00,000"
46,Sagar Trivedi,"10,00,000"
47,Pardeep Sahu,"10,00,000"
48,Dinesh Karthik,"10,50,00,000"
49,Darren Sammy,"2,80,00,000"
50,David Wiese,"2,80,00,000"
51,Sean Abbott,"1,00,00,000"
52,Adam Milne,"70,00,000"
53,Sarfaraz Naushad Khan,"50,00,000"
54,Subramaniam Badrinath,"30,00,000"
55,Jalaj Saxena,"10,00,000"
56,Shishir Bhavane,"10,00,000"
57,Trent Boult,"3,80,00,000"
58,Praveen Kumar,"2,20,00,000"
59,Kevin Pietersen,"2,00,00,000"
60,Eoin Morgan,"1,50,00,000"
61,Ravi Bopara,"1,00,00,000"
62,Kane Williamson,"60,00,000"
63,Laxmi Ratan Shukla,"30,00,000"
64,Prasanth Padmanabhan,"10,00,000"
65,Hanuma Vihari,"10,00,000"
66,Siddarth Kaul,"10,00,000"
