,Player,Price
0,Kagiso Rabada,"5,00,00,000"
1,Patrick Cummins,"4,50,00,000"
2,Angelo Mathews,"2,00,00,000"
3,Corey Anderson,"1,00,00,000"
4,M. Ashwin,"1,00,00,000"
5,Aditya Tare,"25,00,000"
6,Ankeet Bawane,"10,00,000"
7,Navdeep Saini,"10,00,000"
8,Shashank Singh,"10,00,000"
9,Jason Roy,"1,00,00,000"
10,Basil Thampi,"85,00,000"
11,Manpreet Gony,"60,00,000"
12,Nathu Singh,"50,00,000"
13,Munaf Patel,"30,00,000"
14,Akshdeep Nath,"10,00,000"
15,Shubam Agrawal,"10,00,000"
16,Tejas Singh Baroka,"10,00,000"
17,Chirag Suri,"10,00,000"
18,Pratham Singh,"10,00,000"
19,Shelley Shaurya,"10,00,000"
20,T Natarajan,"3,00,00,000"
21,Varun Aaron,"2,80,00,000"
22,Eoin Morgan,"2,00,00,000"
23,Matt Henry,"50,00,000"
24,Martin Guptill,"50,00,000"
25,Darren Sammy,"30,00,000"
26,Rahul Tewatia,"25,00,000"
27,Rinku Singh,"10,00,000"
28,Trent Boult,"5,00,00,000"
29,Chris Woakes,"4,20,00,000"
30,Nathan Coulter-Nile,"3,50,00,000"
31,Rishi Dhawan,"55,00,000"
32,Darren Bravo,"50,00,000"
33,Rovman Powell,"30,00,000"
34,Sayan Ghosh,"10,00,000"
35,R. Sanjay Yadav,"10,00,000"
36,Ishank Jaggi,"10,00,000"
37,Karn Sharma,"3,20,00,000"
38,Krishnappa Gowtham,"2,00,00,000"
39,Mitchell Johnson,"2,00,00,000"
40,Asela Gunarathna,"30,00,000"
41,Saurabh Tiwary,"30,00,000"
42,Nicolas Pooran,"30,00,000"
43,Kulwant Khejroliya,"10,00,000"
44,Benjamin Stokes,"14,50,00,000"
45,Daniel Christian,"1,00,00,000"
46,Manoj Tiwary,"50,00,000"
47,Lockie Ferguson,"50,00,000"
48,Jaydev Unadkat,"30,00,000"
49,Rahul Chahar,"10,00,000"
50,Saurabh Kumar,"10,00,000"
51,Milind Tandon,"10,00,000"
52,Rahul Ajay Tripathi,"10,00,000"
53,Tymal Mills,"12,00,00,000"
54,Aniket Choudhary,"2,00,00,000"
55,Pawan Negi,"1,00,00,000"
56,Billy Stanlake,"30,00,000"
57,Praveen Dubey,"10,00,000"
58,Rashid Khan Arman,"4,00,00,000"
59,Mohammed Siraj,"2,60,00,000"
60,Eklavya Dwivedi,"75,00,000"
61,Chris Jordan,"50,00,000"
62,Mohammad Nabi,"30,00,000"
63,Ben Laughlin,"30,00,000"
64,Pravin Tambe,"10,00,000"
65,Tanmay Agarwal,"10,00,000"
