,Player,Matches,Points,Runs,100s,50s,6s,Wickets,4w,5w
38,Nathan Coulter-Nile,8,134.5,14.0,0.0,0.0,2.0,15.0,0.0,0.0
39,Lasith Malinga,12,134.5,0.0,0.0,0.0,0.0,11.0,0.0,0.0
40,Chris Lynn,7,134.0,295.0,0.0,3.0,19.0,0.0,0.0,0.0
41,Rohit Sharma,17,134.0,333.0,0.0,3.0,9.0,0.0,0.0,0.0
42,Dinesh Karthik,14,133.5,361.0,0.0,2.0,11.0,0.0,0.0,0.0
43,Shardul Thakur,12,133.5,0.0,0.0,0.0,0.0,11.0,0.0,0.0
44,Shreyas Iyer,12,132.5,338.0,0.0,2.0,10.0,0.0,0.0,0.0
45,Amit Mishra,14,132.5,49.0,0.0,0.0,2.0,10.0,0.0,0.0
46,Harbhajan Singh,11,132.5,16.0,0.0,0.0,1.0,8.0,0.0,0.0
47,Manish Pandey,14,132.0,396.0,0.0,2.0,12.0,0.0,0.0,0.0
48,Nitish Rana,13,129.5,333.0,0.0,3.0,17.0,0.0,0.0,0.0
49,Siddarth Kaul,10,128.5,0.0,0.0,0.0,0.0,16.0,1.0,0.0
50,Manoj Tiwary,15,128.5,324.0,0.0,2.0,11.0,0.0,0.0,0.0
51,Moises Henriques,12,127.0,277.0,0.0,3.0,4.0,1.0,0.0,0.0
52,Ravindra Jadeja,12,126.0,158.0,0.0,0.0,4.0,5.0,0.0,0.0
53,MS Dhoni,16,126.0,290.0,0.0,1.0,16.0,0.0,0.0,0.0
54,Basil Thampi,12,125.5,28.0,0.0,0.0,1.0,11.0,0.0,0.0
55,Ishan Kishan,11,125.5,277.0,0.0,1.0,13.0,0.0,0.0,0.0
56,Karun Nair,14,123.5,281.0,0.0,1.0,6.0,0.0,0.0,0.0
57,Kuldeep Yadav,12,123.5,20.0,0.0,0.0,0.0,12.0,0.0,0.0
58,Jos Buttler,10,122.5,272.0,0.0,1.0,15.0,0.0,0.0,0.0
59,Kedar Jadhav,13,122.5,267.0,0.0,1.0,10.0,0.0,0.0,0.0
60,Washington Sundar,11,121.5,0.0,0.0,0.0,0.0,8.0,0.0,0.0
61,Zaheer Khan,11,117.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
62,Yuvraj Singh,12,116.0,252.0,0.0,2.0,8.0,1.0,0.0,0.0
63,Shaun Marsh,9,112.5,264.0,0.0,2.0,5.0,0.0,0.0,0.0
64,Virat Kohli,10,111.0,308.0,0.0,4.0,11.0,0.0,0.0,0.0
65,Wriddhiman Saha,14,108.0,234.0,0.0,1.0,8.0,0.0,0.0,0.0
66,Andrew Tye,6,106.5,53.0,0.0,0.0,3.0,12.0,0.0,1.0
67,AB de Villiers,9,101.0,216.0,0.0,1.0,16.0,0.0,0.0,0.0
68,Samuel Badree,7,98.5,0.0,0.0,0.0,0.0,9.0,1.0,0.0
69,Colin de Grandhomme,12,98.0,126.0,0.0,0.0,6.0,4.0,0.0,0.0
70,Corey Anderson,11,94.5,142.0,0.0,0.0,9.0,3.0,0.0,0.0
71,Manan Vohra,11,94.0,229.0,0.0,1.0,9.0,0.0,0.0,0.0
72,Chris Gayle,9,91.5,200.0,0.0,1.0,14.0,0.0,0.0,0.0
73,Mohammed Shami,8,89.5,36.0,0.0,0.0,2.0,5.0,0.0,0.0
74,Mitchell Johnson,5,88.0,20.0,0.0,0.0,1.0,7.0,0.0,0.0
75,Shane Watson,8,88.0,71.0,0.0,0.0,1.0,5.0,0.0,0.0
76,Kane Williamson,7,87.5,256.0,0.0,2.0,10.0,0.0,0.0,0.0
77,Mohammed Siraj,6,85.5,0.0,0.0,0.0,0.0,10.0,1.0,0.0
78,Kagiso Rabada,6,85.0,55.0,0.0,0.0,1.0,6.0,0.0,0.0
79,Sreenath Arvind,10,83.0,32.0,0.0,0.0,0.0,5.0,0.0,0.0
80,Mandeep Singh,11,81.5,188.0,0.0,1.0,4.0,0.0,0.0,0.0
81,Ashish Nehra,6,77.5,0.0,0.0,0.0,0.0,8.0,0.0,0.0
82,Varun Aaron,6,75.5,0.0,0.0,0.0,0.0,7.0,0.0,0.0
83,Martin Guptill,7,75.0,132.0,0.0,1.0,5.0,0.0,0.0,0.0
84,Shahbaz Nadeem,7,73.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
85,James Faulkner,8,72.5,54.0,0.0,0.0,0.0,6.0,0.0,0.0
86,Trent Boult,6,70.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0
87,Aniket Choudhary,5,65.5,25.0,0.0,0.0,1.0,5.0,0.0,0.0
88,Adam Zampa,6,65.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
89,Tymal Mills,5,64.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0
90,Travis Head,7,62.5,151.0,0.0,1.0,6.0,2.0,0.0,0.0
91,Pradeep Sangwan,5,61.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0
92,Sam Billings,6,61.0,138.0,0.0,1.0,1.0,0.0,0.0,0.0
93,Praveen Kumar,6,61.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
94,Yusuf Pathan,15,60.0,143.0,0.0,1.0,6.0,1.0,0.0,0.0
95,Piyush Chawla,6,59.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0
96,Lendl Simmons,7,58.0,137.0,0.0,2.0,8.0,0.0,0.0,0.0
97,Deepak Hooda,10,53.0,78.0,0.0,0.0,4.0,2.0,0.0,0.0
98,Stuart Binny,8,51.0,78.0,0.0,0.0,3.0,4.0,0.0,0.0
99,Lockie Ferguson,4,50.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
100,Ankit Soni,7,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
101,Bipul Sharma,7,49.5,31.0,0.0,0.0,1.0,3.0,0.0,0.0
102,Ben Cutting,4,49.0,51.0,0.0,0.0,3.0,1.0,0.0,0.0
103,Dhawal Kulkarni,6,48.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
104,Ankit Rajpoot,5,46.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
105,Adam Milne,4,45.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
106,Rahul Tewatia,3,43.5,19.0,0.0,0.0,0.0,3.0,0.0,0.0
107,Suryakumar Yadav,10,43.0,105.0,0.0,0.0,3.0,0.0,0.0,0.0
108,Mohammad Nabi,3,41.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
109,KC Cariappa,4,38.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0
110,Tim Southee,3,37.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
111,Vijay Shankar,4,36.0,101.0,0.0,1.0,1.0,0.0,0.0,0.0
112,Ambati Rayudu,5,35.5,91.0,0.0,1.0,3.0,0.0,0.0,0.0
113,Ishant Sharma,6,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,T Natarajan,6,31.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
115,Naman Ojha,14,30.5,79.0,0.0,0.0,3.0,0.0,0.0,0.0
116,Eoin Morgan,4,29.5,65.0,0.0,0.0,2.0,0.0,0.0,0.0
117,David Miller,5,29.0,83.0,0.0,0.0,4.0,0.0,0.0,0.0
118,Jason Roy,3,28.5,59.0,0.0,0.0,1.0,0.0,0.0,0.0
119,Marcus Stoinis,5,27.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0
120,Ashok Dinda,3,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
121,Billy Stanlake,2,26.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0
122,Rahul Chahar,3,25.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0
123,Rajat Bhatia,3,24.5,16.0,0.0,0.0,1.0,2.0,0.0,0.0
124,Saurabh Tiwary,1,22.5,52.0,0.0,1.0,0.0,0.0,0.0,0.0
125,Deepak Chahar,3,22.5,14.0,0.0,0.0,2.0,1.0,0.0,0.0
126,Harshal Patel,1,18.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
127,Sheldon Jackson,4,17.5,38.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Marlon Samuels,5,17.0,29.0,0.0,0.0,2.0,0.0,0.0,0.0
129,Angelo Mathews,3,16.5,32.0,0.0,0.0,1.0,0.0,0.0,0.0
130,Nathu Singh,2,16.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
131,Carlos Brathwaite,2,14.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
132,Avesh Khan,1,14.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
133,Munaf Patel,2,13.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
134,Jayant Yadav,2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Swapnil Singh,4,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136,Vinay Kumar,1,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
137,Iqbal Abdulla,2,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
138,Shubham Agarwal,1,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
139,Vishnu Vinod,3,11.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0
140,Matt Henry,2,10.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
141,Sachin Baby,3,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Mayank Agarwal,3,10.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Ankit Sharma,1,9.5,25.0,0.0,0.0,1.0,0.0,0.0,0.0
144,Aditya Tare,3,7.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Ishank Jaggi,2,7.5,33.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Anureet Singh,1,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Tejas Baroka,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Chris Jordan,1,5.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
149,Shakib Al Hasan,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Barinder Sran,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Manpreet Gony,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Shadab Jakati,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Irfan Pathan,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Mustafizur Rahman,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Ankit Bawne,1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Darren Bravo,1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Faf du Plessis,2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Gurkeerat Mann Singh,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Rinku Singh,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Akshdeep Nath,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
