,Player,Matches,Points,Runs,100s,50s,6s,Wickets,4w,5w
0,Sunil Narine,16,298.0,224.0,0.0,1.0,10.0,10.0,0.0,0.0
1,David Warner,14,273.5,641.0,1.0,4.0,26.0,0.0,0.0,0.0
2,Ben Stokes,12,270.0,316.0,1.0,1.0,15.0,12.0,0.0,0.0
3,Jaydev Unadkat,12,225.5,0.0,0.0,0.0,0.0,24.0,0.0,1.0
4,Glenn Maxwell,14,218.5,310.0,0.0,0.0,26.0,7.0,0.0,0.0
5,Axar Patel,14,218.0,227.0,0.0,0.0,11.0,15.0,0.0,0.0
6,Bhuvneshwar Kumar,14,218.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0
7,Jasprit Bumrah,16,202.5,16.0,0.0,0.0,1.0,20.0,0.0,0.0
8,Robin Uthappa,14,201.0,388.0,0.0,5.0,21.0,0.0,0.0,0.0
9,Krunal Pandya,13,197.5,243.0,0.0,0.0,7.0,10.0,0.0,0.0
10,Rashid Khan,14,196.5,0.0,0.0,0.0,0.0,17.0,0.0,0.0
11,Hardik Pandya,17,193.5,250.0,0.0,0.0,20.0,6.0,0.0,0.0
12,Pawan Negi,12,193.0,144.0,0.0,0.0,7.0,16.0,0.0,0.0
13,Gautam Gambhir,16,192.0,498.0,0.0,4.0,7.0,0.0,0.0,0.0
14,Mitchell McClenaghan,14,191.5,16.0,0.0,0.0,1.0,19.0,0.0,0.0
15,Umesh Yadav,14,186.5,0.0,0.0,0.0,0.0,17.0,1.0,0.0
16,Chris Morris,9,184.0,154.0,0.0,1.0,6.0,12.0,1.0,0.0
17,Suresh Raina,14,184.0,442.0,0.0,3.0,13.0,1.0,0.0,0.0
18,Sandeep Sharma,13,182.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0
19,Rishabh Pant,14,181.5,366.0,0.0,2.0,24.0,0.0,0.0,0.0
20,Shikhar Dhawan,14,181.5,479.0,0.0,3.0,9.0,0.0,0.0,0.0
21,Kieron Pollard,17,179.5,385.0,0.0,3.0,22.0,0.0,0.0,0.0
22,Rahul Tripathi,14,179.5,391.0,0.0,2.0,17.0,0.0,0.0,0.0
23,Chris Woakes,13,175.0,46.0,0.0,0.0,1.0,17.0,0.0,0.0
24,Parthiv Patel,16,170.5,395.0,0.0,2.0,8.0,0.0,0.0,0.0
25,Pat Cummins,12,165.5,77.0,0.0,0.0,4.0,15.0,0.0,0.0
26,Imran Tahir,12,162.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
27,Hashim Amla,10,159.5,420.0,2.0,2.0,17.0,0.0,0.0,0.0
28,Dan Christian,13,157.5,79.0,0.0,0.0,5.0,11.0,0.0,0.0
29,Sanju Samson,14,156.5,386.0,1.0,2.0,19.0,0.0,0.0,0.0
30,Brendon McCullum,11,155.5,320.0,0.0,2.0,18.0,0.0,0.0,0.0
31,Steve Smith,15,154.5,472.0,0.0,3.0,12.0,0.0,0.0,0.0
32,Mohit Sharma,14,151.0,51.0,0.0,0.0,1.0,13.0,0.0,0.0
33,Yuzvendra Chahal,13,148.5,0.0,0.0,0.0,0.0,14.0,0.0,0.0
34,Karn Sharma,9,147.5,49.0,0.0,0.0,2.0,13.0,1.0,0.0
35,Aaron Finch,13,141.5,300.0,0.0,2.0,19.0,0.0,0.0,0.0
36,Dwayne Smith,12,139.5,239.0,0.0,2.0,8.0,2.0,0.0,0.0
37,Ajinkya Rahane,16,136.5,382.0,0.0,2.0,9.0,0.0,0.0,0.0
