,Player,Matches,Points,Runs,100s,50s,6s,Wickets,4w,5w,Price
0,Sunil Narine,8,101,0,0,0,0,7,1,0,"9,50,00,000"
1,Shane Watson,10,227,347,1,1,14,6,0,0,"9,50,00,000"
2,Kane Williamson,2,11,31,0,0,1,0,0,0,"80,00,000"
3,Hardik Pandya,9,98,112,0,1,8,1,0,0,"10,00,000"
4,Ambati Rayudu,15,123.5,281,0,1,16,0,0,0,"6,00,00,000"
5,Shakib Al Hasan,4,60.5,36,0,0,0,4,0,0,"3,24,00,000"
6,Suryakumar Yadav,13,75.5,157,0,0,8,0,0,0,"70,00,000"
7,Shikhar Dhawan,14,148.5,353,0,3,6,0,0,0,"12,50,00,000"
8,Dinesh Karthik,16,96.5,141,0,0,4,0,0,0,"10,50,00,000"
9,Umesh Yadav,12,155.5,29,0,0,1,10,0,0,"2,30,00,000"
10,AB de Villiers,16,247,513,1,2,22,0,0,0,"9,50,00,000"
11,Virat Kohli,16,187.5,505,0,3,23,0,0,0,"12,50,00,000"
12,Jasprit Bumrah,4,34.5,0,0,0,0,3,0,0,"12,50,00,000"
13,Trent Boult,7,107.5,0,0,0,0,9,0,0,"3,80,00,000"
14,MS Dhoni,17,154.5,372,0,1,17,0,0,0,"12,50,00,000"
15,Suresh Raina,17,192,374,0,2,16,2,0,0,"9,50,00,000"
16,Piyush Chawla,13,128,54,0,0,2,11,1,0,"4,00,00,000"
17,Yuzvendra Chahal,15,180.5,0,0,0,0,23,0,0,"7,50,00,000"
18,Chris Gayle,14,236,491,1,2,38,0,0,0,"8,40,00,000"
19,Ravindra Jadeja,17,183,132,0,0,3,11,1,0,"5,50,00,000"
20,Jaydev Unadkat,1,7,0,0,0,0,0,0,0,"1,60,00,000"
21,Bhuvneshwar Kumar,14,210,17,0,0,1,18,0,0,"4,25,00,000"
22,Sandeep Sharma,14,195,0,0,0,0,13,1,0,"85,00,000"
23,Robin Uthappa,13,159.5,364,0,1,7,0,0,0,"5,00,00,000"
24,Shreyas Iyer,14,181,439,0,4,21,0,0,0,"2,60,00,000"
25,Mitchell McClenaghan,12,188,13,0,0,2,18,0,0,"30,00,000"
26,Sanju Samson,14,90.5,204,0,1,8,0,0,0,"4,20,00,000"
27,Glenn Maxwell,11,91.5,145,0,0,8,2,0,0,"6,00,00,000"
28,Karun Nair,14,70,181,0,1,5,0,0,0,"4,00,00,000"
29,Ajinkya Rahane,14,185.5,540,0,4,13,0,0,0,"8,00,00,000"
30,Rohit Sharma,16,188.5,482,0,3,21,0,0,0,"11,50,00,000"
31,Amit Mishra,12,111.5,0,0,0,0,9,0,0,"10,00,000"
32,Harbhajan Singh,15,241.5,117,0,1,9,18,0,0,"8,00,00,000"
33,Yusuf Pathan,13,141,312,0,1,12,2,0,0,"3,50,00,000"
34,Tim Southee,7,99.5,13,0,0,0,6,0,0,"2,50,00,000"
35,Manish Pandey,13,92,225,0,0,7,0,0,0,"1,70,00,000"
36,Mandeep Singh,14,81,157,0,1,6,0,0,0,"85,00,000"
37,Harshal Patel,15,172,19,0,0,2,17,0,0,"40,00,000"
38,Mohit Sharma,16,192,28,0,0,2,14,0,0,"6,50,00,000"
39,Axar Patel,14,206.5,206,0,0,8,13,0,0,"4,25,00,000"
40,Parthiv Patel,14,160,339,0,2,5,0,0,0,"1,70,00,000"
41,Dhawal Kulkarni,11,153,0,0,0,0,13,0,0,"2,00,00,000"
42,Faf du Plessis,17,130,380,0,1,5,0,0,0,"4,75,00,000"
43,Imran Tahir,10,124,0,0,0,0,15,1,0,"3,50,00,000"
45,Brendon McCullum,14,213,436,1,2,23,0,0,0,"3,25,00,000"
46,Mitchell Johnson,9,127.5,31,0,0,1,9,0,0,"9,50,00,000"
47,Chris Morris,11,191,76,0,0,5,13,1,0,"6,00,00,000"
48,Wriddhiman Saha,14,110,249,0,0,10,0,0,0,"2,60,00,000"
49,Kieron Pollard,16,215,419,0,2,28,3,0,0,"9,50,00,000"
50,Aaron Finch,3,10,23,0,0,0,0,0,0,"1,00,00,000"
51,Mayank Agarwal,10,89.5,213,0,2,7,0,0,0,"1,70,00,000"
52,Karn Sharma,14,138.5,104,0,0,6,10,0,0,"3,50,00,000"
53,Shahbaz Nadeem,4,28.5,0,0,0,0,0,0,0,"2,60,00,000"
54,Deepak Hooda,14,84.5,151,0,1,11,1,0,0,"4,20,00,000"
55,Gautam Gambhir,13,124,327,0,3,4,0,0,0,"10,00,00,000"
56,Yuvraj Singh,14,112,248,0,2,10,1,0,0,"7,00,00,000"
57,Vinay Kumar,13,132.5,0,0,0,0,7,0,0,"2,60,00,000"
58,Manan Vohra,7,32.5,82,0,0,5,0,0,0,"3,50,00,000"
59,Stuart Binny,13,103.5,74,0,0,1,4,0,0,"1,00,00,000"
60,David Miller,13,143.5,357,0,2,21,0,0,0,"5,00,00,000"
61,Pawan Negi,10,126.5,116,0,0,5,6,0,0,"8,50,00,000"
62,Anureet Singh,14,171,18,0,0,1,15,0,0,"20,00,000"
63,Kedar Jadhav,14,84.5,189,0,1,7,0,0,0,"2,60,00,000"
64,Ankit Sharma,4,47,0,0,0,0,3,0,0,"10,00,000"
65,Naman Ojha,14,61.5,137,0,0,4,0,0,0,"1,10,00,000"
