,Player,Matches,Points,Runs,100s,50s,6s,Wickets,4w,5w,Price
0,Sunil Narine,11,153.5,0,0,0,0,11,0,0,"9,50,00,000"
1,Shane Watson,16,283,179,0,0,12,20,1,0,"9,50,00,001"
2,Kane Williamson,6,49.5,124,0,1,0,0,0,0,"60,00,000"
3,Hardik Pandya,11,64.5,44,0,0,0,3,0,0,"10,00,000"
4,Ambati Rayudu,13,122,334,0,2,12,0,0,0,"4,00,00,000"
5,Shakib Al Hasan,10,120.5,114,0,1,5,5,0,0,"2,80,00,000"
6,Suryakumar Yadav,15,80,186,0,1,5,0,0,0,"7,000,000"
7,Shikhar Dhawan,17,168,501,0,4,8,0,0,0,"125,000,000"
8,Dinesh Karthik,16,140.5,335,0,3,3,0,0,0,"23,000,000"
9,Umesh Yadav,9,87,0,0,0,0,10,0,0,"26,000,000"
10,AB de Villiers,16,319.5,687,1,6,37,0,0,0,"95,000,000"
11,Virat Kohli,16,356.5,973,4,7,38,0,0,0,"125,000,000"
12,Jasprit Bumrah,14,165.5,0,0,0,0,15,0,0," 12,000,000"
13,Trent Boult,1,17,0,0,0,0,1,0,0,"5,00,00,000"
14,MS Dhoni,14,124,284,0,1,14,0,0,0,"125,000,000"
15,Suresh Raina,15,165,399,0,3,10,0,0,0,"125,000,000"
16,Piyush Chawla,12,137,27,0,0,0,11,0,0," 42,500,000"
17,Yuzvendra Chahal,13,183.5,0,0,0,0,21,1,0,"1,000,000"
18,Chris Gayle,10,154,227,0,2,21,2,0,0,"75,000,000"
19,Ravindra Jadeja,15,158,191,0,0,4,8,0,0,"95,000,000"
20,Jaydev Unadkat,1,5,0,0,0,0,0,0,0,"30,00,000"
21,Bhuvneshwar Kumar,17,270,43,0,0,1,23,1,0,"42,500,000"
22,Sandeep Sharma,14,184.5,0,0,0,0,15,0,0,"8,500,000"
23,Robin Uthappa,15,175.5,394,0,3,8,0,0,0,"50,000,000"
24,Shreyas Iyer,6,18.5,30,0,0,1,0,0,0,"26,000,000"
25,Mitchell McClenaghan,14,203,34,0,0,3,17,1,0,"3,000,000"
26,Sanju Samson,14,88,291,0,1,8,0,0,0,"42,000,000"
27,Glenn Maxwell,11,86.5,179,0,2,8,0,0,0,"60,000,000"
28,Karun Nair,14,128.5,357,0,3,6,0,0,0,"40,000,000"
29,Ajinkya Rahane,14,184,480,0,6,9,0,0,0,"95,000,000"
30,Rohit Sharma,14,183.5,489,0,5,16,0,0,0,"125,000,000"
31,Amit Mishra,14,146,0,0,0,0,13,1,0,"35,000,000"
32,Harbhajan Singh,14,159,92,0,0,2,9,0,0,"55,000,000"
33,Yusuf Pathan,15,153,361,0,3,13,1,0,0,"32,500,000"
34,Tim Southee,11,150,30,0,0,2,9,0,0,"25,000,000"
35,Manish Pandey,12,91.5,248,0,2,9,0,0,0,"17,000,000"
36,Mandeep Singh,1,2.5,0,0,0,0,0,0,0,"8,000,000"
37,Harshal Patel,5,36.5,0,0,0,0,1,0,0,"4,000,000"
38,Mohit Sharma,14,161,32,0,0,1,13,0,0,"65,000,000"
39,Axar Patel,14,179.5,111,0,0,8,13,1,0,"4,50,00,000"
40,Parthiv Patel,10,96.5,177,0,1,4,0,0,0,"14,000,000"
41,Dhawal Kulkarni,14,203,23,0,0,0,18,1,0,"20,000,000"
42,Faf du Plessis,6,84,206,0,2,9,0,0,0,"40,000,000"
43,Imran Tahir,4,45,0,0,0,0,5,0,0,"3,50,00,000"
45,Brendon McCullum,16,151,354,0,1,16,0,0,0,"55,000,000"
46,Mitchell Johnson,3,30.5,0,0,0,0,2,0,0,"2,00,00,000"
47,Chris Morris,12,247,195,0,1,12,13,0,0,"70,000,000"
48,Wriddhiman Saha,12,101,270,0,2,1,0,0,0,"22,000,000"
49,Kieron Pollard,13,100,207,0,1,16,0,0,0,"95,000,000"
50,Aaron Finch,13,158.5,393,0,5,11,0,0,0,"10,000,000"
51,Mayank Agarwal,3,11,27,0,0,1,0,0,0,"16,000,000"
52,Karn Sharma,5,30,36,0,0,1,0,0,0,"3,20,00,000"
53,Shahbaz Nadeem,4,38,0,0,0,0,2,0,0,"8,500,000"
54,Deepak Hooda,17,79,144,0,0,5,3,0,0,"42,000,000"
55,Gautam Gambhir,15,158.5,501,0,5,6,0,0,0,"125,000,000"
56,Yuvraj Singh,10,110,236,0,0,13,0,0,0,"70,000,000"
57,Vinay Kumar,3,39,13,0,0,1,3,0,0,"29,950,000"
58,Manan Vohra,7,65.5,161,0,1,3,0,0,0,"40,000,000"
59,Stuart Binny,14,65.5,63,0,0,4,1,0,0,"20,000,000"
60,David Miller,14,66.5,161,0,0,4,0,0,0,"125,000,000"
61,Pawan Negi,8,35,57,0,0,3,1,0,0,"1,00,00,000"
62,Anureet Singh,2,12,0,0,0,0,0,0,0,"2,000,000 "
63,Kedar Jadhav,4,14.5,42,0,0,2,0,0,0,"21,750,000"
64,Ankit Sharma,3,23,0,0,0,0,1,0,0,"1,000,000"
65,Naman Ojha,17,80,136,0,0,5,0,0,0,"5,000,000"
