,Player,Matches,Points,Runs,100s,50s,6s,Wickets,4w,5w
0,Sunil Narine,16,379.5,357.0,0.0,2.0,23.0,17.0,0.0,0.0
1,Shane Watson,15,318.0,555.0,2.0,2.0,35.0,6.0,0.0,0.0
2,Rishabh Pant,14,314.5,684.0,1.0,5.0,37.0,0.0,0.0,0.0
3,Lokesh Rahul,14,304.5,659.0,0.0,6.0,32.0,0.0,0.0,0.0
4,Andre Russell,16,292.5,316.0,0.0,1.0,31.0,13.0,0.0,0.0
5,Rashid Khan,17,284.0,59.0,0.0,0.0,6.0,21.0,0.0,0.0
6,Kane Williamson,17,273.0,735.0,0.0,8.0,28.0,0.0,0.0,0.0
7,Hardik Pandya,13,269.5,260.0,0.0,1.0,11.0,18.0,0.0,0.0
8,Ambati Rayudu,16,256.5,602.0,1.0,3.0,34.0,0.0,0.0,0.0
9,Krunal Pandya,14,239.5,228.0,0.0,0.0,10.0,12.0,0.0,0.0
10,Shakib Al Hasan,17,237.0,239.0,0.0,0.0,5.0,14.0,0.0,0.0
11,Suryakumar Yadav,14,228.5,512.0,0.0,4.0,16.0,0.0,0.0,0.0
12,Jos Buttler,13,228.5,548.0,0.0,5.0,21.0,0.0,0.0,0.0
13,Shikhar Dhawan,16,226.5,497.0,0.0,4.0,14.0,0.0,0.0,0.0
14,Dinesh Karthik,16,223.5,498.0,0.0,2.0,16.0,0.0,0.0,0.0
15,Umesh Yadav,14,223.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
16,Andrew Tye,14,221.0,32.0,0.0,0.0,1.0,24.0,3.0,0.0
17,AB de Villiers,12,217.5,480.0,0.0,6.0,30.0,0.0,0.0,0.0
18,Dwayne Bravo,16,216.5,141.0,0.0,1.0,10.0,14.0,0.0,0.0
19,Virat Kohli,14,213.0,530.0,0.0,4.0,18.0,0.0,0.0,0.0
20,Chris Lynn,16,210.5,491.0,0.0,3.0,18.0,0.0,0.0,0.0
21,Siddarth Kaul,17,209.5,0.0,0.0,0.0,0.0,21.0,0.0,0.0
22,Krishnappa Gowtham,15,207.5,126.0,0.0,0.0,9.0,11.0,0.0,0.0
23,Jasprit Bumrah,14,205.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
24,Trent Boult,14,203.5,0.0,0.0,0.0,0.0,18.0,0.0,0.0
25,MS Dhoni,16,200.0,455.0,0.0,3.0,30.0,0.0,0.0,0.0
26,Shardul Thakur,13,186.5,15.0,0.0,0.0,0.0,16.0,0.0,0.0
27,Suresh Raina,15,179.5,445.0,0.0,4.0,12.0,0.0,0.0,0.0
28,Piyush Chawla,15,175.0,27.0,0.0,0.0,1.0,14.0,0.0,0.0
29,Yuzvendra Chahal,14,175.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
30,Chris Gayle,11,174.5,368.0,1.0,3.0,27.0,0.0,0.0,0.0
31,Ben Stokes,13,173.5,196.0,0.0,0.0,6.0,8.0,0.0,0.0
32,Evin Lewis,13,171.5,382.0,0.0,2.0,24.0,0.0,0.0,0.0
33,Deepak Chahar,12,171.0,50.0,0.0,0.0,4.0,10.0,0.0,0.0
34,Kuldeep Yadav,16,171.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0
35,Ravindra Jadeja,16,169.5,89.0,0.0,0.0,4.0,11.0,0.0,0.0
36,Jaydev Unadkat,15,169.0,49.0,0.0,0.0,1.0,11.0,0.0,0.0
37,Bhuvneshwar Kumar,12,163.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0
38,Sandeep Sharma,12,163.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
39,Robin Uthappa,16,161.0,351.0,0.0,1.0,21.0,0.0,0.0,0.0
40,Ravichandran Ashwin,14,159.5,102.0,0.0,0.0,5.0,10.0,0.0,0.0
41,Shreyas Iyer,14,158.5,411.0,0.0,4.0,21.0,0.0,0.0,0.0
42,Mitchell McClenaghan,11,158.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
43,Jofra Archer,10,158.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0
44,Sanju Samson,15,154.0,441.0,0.0,3.0,19.0,0.0,0.0,0.0
45,Mayank Markande,14,152.0,21.0,0.0,0.0,0.0,15.0,1.0,0.0
46,Nitish Rana,15,150.0,304.0,0.0,1.0,14.0,4.0,0.0,0.0
47,Mujeeb Ur Rahman,11,149.5,0.0,0.0,0.0,0.0,14.0,0.0,0.0
48,Mohammed Siraj,11,149.5,25.0,0.0,0.0,1.0,11.0,0.0,0.0
49,Ishan Kishan,14,142.0,275.0,0.0,2.0,17.0,0.0,0.0,0.0
50,Shreyas Gopal,11,126.5,50.0,0.0,0.0,0.0,11.0,1.0,0.0
51,Glenn Maxwell,12,126.0,169.0,0.0,0.0,9.0,5.0,0.0,0.0
52,Ankit Rajpoot,8,126.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0
53,Karun Nair,13,125.5,301.0,0.0,2.0,13.0,0.0,0.0,0.0
54,Ajinkya Rahane,15,125.0,370.0,0.0,1.0,5.0,0.0,0.0,0.0
55,Rohit Sharma,14,124.5,286.0,0.0,2.0,12.0,0.0,0.0,0.0
56,Lungi Ngidi,7,120.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0
57,Amit Mishra,10,116.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
58,Harbhajan Singh,13,113.5,29.0,0.0,0.0,1.0,7.0,0.0,0.0
59,Prithvi Shaw,9,112.5,245.0,0.0,2.0,10.0,0.0,0.0,0.0
60,Yusuf Pathan,15,106.5,260.0,0.0,0.0,11.0,1.0,0.0,0.0
61,Quinton de Kock,8,103.0,201.0,0.0,1.0,8.0,0.0,0.0,0.0
62,Tim Southee,8,100.0,52.0,0.0,0.0,1.0,5.0,0.0,0.0
63,Prasidh Krishna,7,97.5,0.0,0.0,0.0,0.0,10.0,1.0,0.0
64,Manish Pandey,15,95.0,284.0,0.0,3.0,5.0,0.0,0.0,0.0
65,Vijay Shankar,13,92.5,212.0,0.0,1.0,11.0,1.0,0.0,0.0
66,Shivam Mavi,9,91.5,13.0,0.0,0.0,0.0,5.0,0.0,0.0
67,Ben Cutting,9,89.0,96.0,0.0,0.0,8.0,2.0,0.0,0.0
68,Mustafizur Rahman,7,88.5,0.0,0.0,0.0,0.0,7.0,0.0,0.0
69,Mandeep Singh,14,88.5,252.0,0.0,0.0,11.0,0.0,0.0,0.0
70,Colin de Grandhomme,9,85.5,131.0,0.0,0.0,10.0,2.0,0.0,0.0
71,Harshal Patel,5,84.0,60.0,0.0,0.0,6.0,7.0,0.0,0.0
72,Chris Woakes,5,83.5,17.0,0.0,0.0,1.0,8.0,0.0,0.0
73,Rahul Tewatia,8,83.0,50.0,0.0,0.0,1.0,6.0,0.0,0.0
74,Rahul Tripathi,12,83.0,226.0,0.0,1.0,8.0,0.0,0.0,0.0
75,Mohit Sharma,9,82.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
76,Shubman Gill,13,80.0,203.0,0.0,1.0,5.0,0.0,0.0,0.0
77,Axar Patel,9,78.0,80.0,0.0,0.0,4.0,3.0,0.0,0.0
78,Carlos Brathwaite,4,76.0,75.0,0.0,0.0,8.0,5.0,0.0,0.0
79,Moeen Ali,5,73.5,77.0,0.0,1.0,6.0,3.0,0.0,0.0
80,Parthiv Patel,6,71.5,153.0,0.0,1.0,4.0,0.0,0.0,0.0
81,Dhawal Kulkarni,8,70.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0
82,Washington Sundar,7,69.5,65.0,0.0,0.0,4.0,4.0,0.0,0.0
83,Ish Sodhi,6,68.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0
84,Ben Laughlin,7,68.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
85,Billy Stanlake,4,67.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
86,Faf du Plessis,6,66.0,162.0,0.0,1.0,6.0,0.0,0.0,0.0
87,Imran Tahir,6,66.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
88,Barinder Sran,6,66.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
89,Avesh Khan,6,65.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0
90,Brendon McCullum,6,63.5,127.0,0.0,0.0,6.0,0.0,0.0,0.0
91,Mitchell Johnson,6,63.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0
92,D'Arcy Short,7,61.5,115.0,0.0,0.0,5.0,1.0,0.0,0.0
93,Chris Morris,4,61.0,46.0,0.0,0.0,2.0,3.0,0.0,0.0
94,Liam Plunkett,7,61.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
95,Wriddhiman Saha,11,61.0,122.0,0.0,0.0,1.0,0.0,0.0,0.0
96,Marcus Stoinis,7,59.5,99.0,0.0,0.0,4.0,3.0,0.0,0.0
97,Kieron Pollard,9,59.5,133.0,0.0,1.0,7.0,0.0,0.0,0.0
98,Alex Hales,6,58.5,148.0,0.0,0.0,6.0,0.0,0.0,0.0
99,Jason Roy,5,57.0,120.0,0.0,1.0,7.0,0.0,0.0,0.0
100,Aaron Finch,10,53.0,134.0,0.0,0.0,8.0,0.0,0.0,0.0
101,Sam Billings,10,50.0,108.0,0.0,1.0,5.0,0.0,0.0,0.0
102,Sandeep Lamichhane,3,47.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0
103,Mohammed Shami,4,46.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
104,Tom Curran,5,46.0,23.0,0.0,0.0,0.0,6.0,0.0,0.0
105,Mayank Agarwal,11,45.0,120.0,0.0,0.0,5.0,0.0,0.0,0.0
106,Dan Christian,4,39.5,26.0,0.0,0.0,1.0,4.0,0.0,0.0
107,Basil Thampi,4,39.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0
108,Karn Sharma,6,37.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0
109,Colin Munro,5,36.5,63.0,0.0,0.0,4.0,0.0,0.0,0.0
110,Shahbaz Nadeem,6,34.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
111,Heinrich Klaasen,4,33.5,57.0,0.0,0.0,1.0,0.0,0.0,0.0
112,David Willey,3,32.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
113,Shreevats Goswami,6,31.0,52.0,0.0,0.0,1.0,0.0,0.0,0.0
114,Murugan Ashwin,2,30.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
115,Corey Anderson,3,30.0,17.0,0.0,0.0,1.0,3.0,0.0,0.0
116,Deepak Hooda,9,29.0,87.0,0.0,0.0,3.0,0.0,0.0,0.0
117,Abhishek Sharma,3,27.5,63.0,0.0,0.0,5.0,0.0,0.0,0.0
118,Javon Searles,4,27.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0
119,KM Asif,2,26.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
120,Gautam Gambhir,6,26.0,85.0,0.0,1.0,1.0,0.0,0.0,0.0
121,Sarfaraz Khan,7,26.0,51.0,0.0,0.0,1.0,0.0,0.0,0.0
122,Kulwant Khejroliya,3,25.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
123,Yuvraj Singh,8,24.5,65.0,0.0,0.0,2.0,0.0,0.0,0.0
124,Manoj Tiwary,5,23.5,47.0,0.0,0.0,1.0,0.0,0.0,0.0
125,Mohammad Nabi,2,23.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0
126,Vinay Kumar,2,22.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0
127,JP Duminy,6,22.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0
128,Rinku Singh,4,20.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Manan Vohra,4,19.0,55.0,0.0,0.0,4.0,0.0,0.0,0.0
130,Stuart Binny,7,16.5,44.0,0.0,0.0,2.0,0.0,0.0,0.0
131,David Miller,3,14.5,74.0,0.0,0.0,2.0,0.0,0.0,0.0
132,Pawan Negi,2,12.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
133,Chris Jordan,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Anureet Singh,3,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
135,Kedar Jadhav,1,9.5,24.0,0.0,0.0,2.0,0.0,0.0,0.0
136,Mark Wood,1,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Junior Dala,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Khaleel Ahmed,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Akila Dananjaya,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Akshdeep Nath,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Pradeep Sangwan,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Prashant Chopra,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Mahipal Lomror,2,4.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Dhruv Shorey,1,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Murali Vijay,1,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Ankit Sharma,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
