,Player,Price
0,Pawan Negi,"8,50,00,000"
1,Christopher Morris,"7,00,00,000"
2,Sanju Samson,"4,20,00,000"
3,Carlos Brathwaite,"4,20,00,000"
4,Karun Nair,"4,00,00,000"
5,Rishabh Pant,"1,90,00,000"
6,Joel Paris,"30,00,000"
7,Sam Billings,"30,00,000"
8,Chama Milind,"10,00,000"
9,Pratyush Singh,"10,00,000"
10,Mahipal Lomror,"10,00,000"
11,Syed Khaleel Ahmed,"10,00,000"
12,Akhil Arvind Herwadkar,"10,00,000"
13,Pawan Suyal,"10,00,000"
14,Praveen Kumar,"3,50,00,000"
15,Dale Steyn,"2,30,00,000"
16,Dinesh Karthik,"2,30,00,000"
17,Dwayne Smith,"2,30,00,000"
18,Dhawal Kulkarni,"2,00,00,000"
19,Aaron Finch,"1,00,00,000"
20,Eklavya Dwivedi,"1,00,00,000"
21,Andrew Tye,"50,00,000"
22,Ishan Kishan,"35,00,000"
23,Jaydev Shah,"20,00,000"
24,Shadab Jakati,"20,00,000"
25,Pravin Tambe,"20,00,000"
26,Pradeep Sangwan,"20,00,000"
27,Amit Mishra,"10,00,000"
28,Shivil Kaushik,"10,00,000"
29,Akshdeep Nath,"10,00,000"
30,Sarabjit Ladda,"10,00,000"
31,Umang Sharma,"10,00,000"
32,Paras Dogra,"10,00,000"
33,Mohit Sharma,"6,50,00,000"
34,Kyle Abbott,"2,10,00,000"
35,K.C. Cariappa,"80,00,000"
36,Marcus Stoinis,"55,00,000"
37,Farhaan Behardien,"30,00,000"
38,Pardeep Sahu,"10,00,000"
39,Armaan Jaffer,"10,00,000"
40,Swapnil Singh,"10,00,000"
41,Jaydev Unadkat,"1,60,00,000"
42,Ankit Singh Rajpoot,"1,50,00,000"
43,John Hastings,"1,30,00,000"
44,Jason Holder,"70,00,000"
45,Colin Munro,"30,00,000"
46,Rajagopal Sathish,"20,00,000"
47,Manan Ajay Sharma,"10,00,000"
48,Jos Buttler,"3,80,00,000"
49,Nathu Singh,"3,20,00,000"
50,Tim Southee,"2,50,00,000"
51,Krunal Pandya,"2,00,00,000"
52,Kishore Pramod Kamath,"1,40,00,000"
53,Deepak Punia,"10,00,000"
54,Jitesh Sharma,"10,00,000"
55,Mitchell Marsh,"4,80,00,000"
56,M. Ashwin,"4,50,00,000"
57,Ishant Sharma,"3,80,00,000"
58,Kevin Pietersen,"3,50,00,000"
59,Irfan Pathan,"1,00,00,000"
60,Thisara Perera,"1,00,00,000"
61,Rajat Bhatia,"60,00,000"
62,Ashok Dinda,"50,00,000"
63,Scott Boland,"50,00,000"
64,Peter Handscomb,"30,00,000"
65,Rudra Pratap Singh,"30,00,000"
66,Adam Zampa,"30,00,000"
67,Ishwar Chandra Pandey,"20,00,000"
68,Deepak Chahar,"10,00,000"
69,Jaskaran Singh,"10,00,000"
70,Baba Aparajith,"10,00,000"
71,Ankush Bains,"10,00,000"
72,Ankit Sharma,"10,00,000"
73,Shane Watson,"9,50,00,000"
74,Stuart Binny,"2,00,00,000"
75,Kane Richardson,"2,00,00,000"
76,Samuel Badree,"50,00,000"
77,Travis Head,"50,00,000"
78,Praveen Dubey,"35,00,000"
79,Vikramjeet Malik,"20,00,000"
80,Akshay Karnewar,"10,00,000"
81,Iqbal Abdullah,"10,00,000"
82,Sachin Baby,"10,00,000"
83,Vikas Tokas,"10,00,000"
84,Yuvraj Singh,"7,00,00,000"
85,Ashish Nehra,"5,50,00,000"
86,Deepak Hooda,"4,20,00,000"
87,Mustafizur Rahman,"1,40,00,000"
88,Aditya Tare,"1,20,00,000"
89,Barinder Singh Sran,"1,20,00,000"
90,Ben Cutting,"50,00,000"
91,Vijay Shankar,"35,00,000"
92,Abhimanyu Mithun,"30,00,000"
93,Tirumalasetti Suman,"10,00,000"
