,Player,Matches,Points,Runs,100s,50s,6s,Wickets,4w,5w
93,Saurabh Tiwary,7,52.5,109.0,0.0,0.0,5.0,0.0,0.0,0.0
94,Beuran Hendricks,4,49.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0
95,Johan Botha,4,48.5,31.0,0.0,0.0,1.0,1.0,0.0,0.0
96,Unmukt Chand,6,47.0,102.0,0.0,1.0,2.0,0.0,0.0,0.0
97,Ankit Sharma,4,47.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
98,Ashish Reddy,6,47.0,73.0,0.0,0.0,5.0,3.0,0.0,0.0
99,Gurkeerat Mann Singh,5,43.0,35.0,0.0,0.0,1.0,3.0,0.0,0.0
100,Virender Sehwag,8,40.5,99.0,0.0,0.0,3.0,0.0,0.0,0.0
101,Lokesh Rahul,9,40.0,142.0,0.0,0.0,5.0,0.0,0.0,0.0
102,Sarfaraz Khan,13,37.0,111.0,0.0,0.0,2.0,0.0,0.0,0.0
103,Rishi Dhawan,5,35.5,36.0,0.0,0.0,2.0,1.0,0.0,0.0
104,Jasprit Bumrah,4,34.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
105,Abu Nechim,3,34.5,10.0,0.0,0.0,0.0,1.0,0.0,0.0
106,Ishant Sharma,4,33.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
107,Manan Vohra,7,32.5,82.0,0.0,0.0,5.0,0.0,0.0,0.0
108,Jayant Yadav,3,30.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0
109,Karanveer Singh,4,30.5,11.0,0.0,0.0,0.0,1.0,0.0,0.0
110,Manoj Tiwary,5,28.5,57.0,0.0,0.0,1.0,0.0,0.0,0.0
111,Shahbaz Nadeem,4,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Shaun Marsh,4,28.0,81.0,0.0,1.0,3.0,0.0,0.0,0.0
113,Pat Cummins,3,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
114,Bipul Sharma,4,27.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
115,Ryan ten Doeschate,6,26.0,61.0,0.0,0.0,3.0,0.0,0.0,0.0
116,Michael Hussey,4,25.5,77.0,0.0,1.0,3.0,0.0,0.0,0.0
