,Player,Matches,Points,Runs,100s,50s,6s,Wickets,4w,5w
104,Mitchell Marsh,3,42.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
105,Eoin Morgan,7,41.5,123.0,0.0,1.0,4.0,0.0,0.0,0.0
106,Pradeep Sahu,5,40.5,19.0,0.0,0.0,1.0,3.0,0.0,0.0
107,RP Singh,4,39.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
108,Vinay Kumar,3,39.0,13.0,0.0,0.0,1.0,3.0,0.0,0.0
109,Tabraiz Shamsi,4,39.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
110,Kyle Abbott,5,38.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0
111,Shahbaz Nadeem,4,38.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
112,Harshal Patel,5,36.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113,Pawan Negi,8,35.0,57.0,0.0,0.0,3.0,1.0,0.0,0.0
114,George Bailey,6,34.5,84.0,0.0,0.0,2.0,0.0,0.0,0.0
115,Parveez Rasool,4,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
116,Sam Billings,5,31.5,88.0,0.0,1.0,4.0,0.0,0.0,0.0
117,Sarfaraz Khan,5,31.5,66.0,0.0,0.0,4.0,0.0,0.0,0.0
118,Mitchell Johnson,3,30.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0
119,Ashish Reddy,4,30.0,47.0,0.0,0.0,4.0,1.0,0.0,0.0
120,Karn Sharma,5,30.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0
121,John Hastings,2,29.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
122,Ankit Rajpoot,4,28.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
123,Albie Morkel,2,25.5,16.0,0.0,0.0,2.0,2.0,0.0,0.0
124,Ankit Sharma,3,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
125,Kevin Pietersen,4,23.0,73.0,0.0,0.0,3.0,0.0,0.0,0.0
126,Rishi Dhawan,2,22.5,14.0,0.0,0.0,1.0,2.0,0.0,0.0
127,Scott Boland,2,21.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
128,Irfan Pathan,4,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Shreyas Iyer,6,18.5,30.0,0.0,0.0,1.0,0.0,0.0,0.0
130,Martin Guptill,3,18.0,57.0,0.0,0.0,3.0,0.0,0.0,0.0
131,Colin Munro,4,17.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Rajagopal Sathish,4,17.5,24.0,0.0,0.0,1.0,1.0,0.0,0.0
133,Trent Boult,1,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
134,Eklavya Dwivedi,4,17.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0
135,Deepak Chahar,2,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Ishan Kishan,5,15.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Travis Head,3,14.5,54.0,0.0,0.0,2.0,0.0,0.0,0.0
138,Kedar Jadhav,4,14.5,42.0,0.0,0.0,2.0,0.0,0.0,0.0
139,Adam Milne,1,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
140,Anureet Singh,2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Pradeep Sangwan,2,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Mayank Agarwal,3,11.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0
143,David Wiese,1,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Farhaan Behardien,3,7.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Nikhil Naik,2,7.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Chris Lynn,2,6.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0
147,Jaydev Unadkat,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Aditya Tare,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Dale Steyn,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Shreyas Gopal,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Lendl Simmons,1,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Swapnil Singh,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Sarabjit Ladda,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Mandeep Singh,1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Akshdeep Nath,4,2.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Unmukt Chand,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Jagadeesha Suchith,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Peter Handscomb,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
